name,price,size,color,rpm,airflow,noise_level,pwm
Lian Li Uni Fan SL-Infinity 3-Pack,89.99,120,Black,,"0,61.3","0,29",true
Noctua NF-A12x25 PWM chromax.black.swap,37.95,120,Black,"450,2000",60.09,22.6,true
Lian Li Uni Fan SL-Infinity 3-Pack,87.99,120,White,,"0,61.3","0,29",true
Thermalright TL-C12C-S X3 3-Pack,13.59,120,Black,1550,66.17,25.6,true
ARCTIC P12 PWM PST,9.99,120,Black,"200,1800",56.3,,true
Corsair RS120 ARGB 3-Pack,47.99,120,Black,"420,2100","13.3,72.8","10,36",true
Thermalright TL-C12C X3 3-Pack,11.99,120,Black,1550,66.17,25.6,true
Lian Li Uni Fan SL-Infinity,30.99,120,Black,,"0,61.3","0,29",true
Lian Li Uni Fan SL-Infinity,33.99,120,White,"200,2100",63.6,32,true
ARCTIC P12 PST 5-Pack,40.52,120,Black,"200,1800",56.3,22.5,true
Lian Li Uni Fan SL-Infinity,34.95,120,White / Black,"200,2100",63.6,32,true
Corsair RS120 3-Pack,44.99,120,Black,"420,2100","13.3,72.8","10,36",true
Corsair RS120 ARGB 3-Pack,54.99,120,White,"420,2100","13.3,72.8","10,36",true
Noctua A12x25 PWM,34.95,120,Brown,"450,2000","49.73,60.1","18.8,22.6",true
Noctua A14 PWM chromax.black.swap,28.95,140,Multicolor,"300,1500",82.52,24.6,true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,149.95,120,Black,"480,2400","16.44,63.1",,true
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,91.94,120,Black,"400,2000",64,31,true
Noctua P12 redux-1700 PWM,15.45,120,Gray,"450,1700",70.75,25.1,true
Lian Li Uni Fan SL-Infinity,37.99,120,White,,"0,61.3","0,29",true
ARCTIC P14 PST,12.21,140,Black,"200,1700",72.8,22.5,true
Corsair RS120 ARGB,19.98,120,Black,"420,2100","13.3,72.8","10,36",true
Lian Li Uni Fan SL-Infinity,30.99,140,Black / White,"200,1600",71.6,28.6,true
Thermalright TL-C12CW-S X3 3-Pack,13.19,120,White,1550,66.17,25.6,true
Corsair iCUE LINK RX120 3-Pack,104.99,120,Black / White,2100,"10.5,74.2","10,36",false
be quiet! Silent Wings Pro 4,33.9,120,Black,3000,83.9,36.9,true
Lian Li UNI FAN TL LCD Wireless 3-Pack,149.99,120,Black,"350,1900",54.3,31,true
Thermalright TL-C12C-S X5 5-Pack,18.59,120,Black,1550,66.17,25.6,true
Lian Li Uni Fan SL-Infinity,39.99,140,Black,"200,1600",72.7,28,true
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,84.99,120,White,"400,2000",64,31,true
Thermalright TL-M12R-S,8.99,120,Black,1500,47.6,23.2,true
ARCTIC P12 Max 5-Pack,,120,Black,"200,3300",81.04,,true
ARCTIC P12 PST A-RGB 0dB 3-Pack,40.59,120,Black,,48.8,,true
be quiet! Silent Wings Pro 4,33.9,140,Black,2400,97.41,36.8,true
ARCTIC P12 Max,19.98,120,Black,"200,3300",81.04,,true
NZXT F120 RGB Core,19.98,120,Black,"500,1800",78.86,33.88,true
Lian Li UNI FAN TL Wireless 3-Pack,99.99,120,Black,"200,2600",90.1,33,true
Corsair HD120 3-Pack,199.99,120,Black / White,"800,1725",54.4,"18,30",true
Thermalright TL-S12 X3 3-Pack,13.79,120,Black,1500,47.6,23.2,true
Noctua NF-A14x25 G2 PWM,54.49,140,Brown,"1250,1500","74.8,91.6","19.7,24.8",true
Noctua NF-A14x25 G2 PWM Sx2-PP 2-Pack,84.95,140,Brown,"1250,1500","74.8,91.6","19.7,24.8",true
ARCTIC P14 Max,12.99,140,Black,"400,2800",95,,true
NZXT F120 RGB Core,24.99,120,White,"500,1800",78.86,33.88,true
Thermalright TL-C12C-S,7.9,120,Black,1550,66.17,25.6,true
ARCTIC P12 Slim PWM PST 3-Pack,28.99,120,Black,"300,2100",42.1,22.5,true
Lian Li UNI FAN TL LCD Wireless 3-Pack,149.99,120,White,"350,1900",54.3,31,true
Lian Li Uni Fan SL-Infinity,,140,White,"200,1600",71.6,28.6,true
Noctua A14 PWM,24.95,140,Brown,"300,1500","68,82.5","19.2,24.6",true
Noctua NF-A12x25 G2 PWM,42.14,120,Brown,"1500,1800","51.32,63.15","18.1,22.5",true
Corsair iCUE LINK LX120-R RGB 3-Pack,139.99,120,Black,2400,70,35.1,true
