name,price,rpm,noise_level,color,size
Cooler Master Hyper 212 Black Edition,49.99,"800,2000","6.5,26",,
Cooler Master MASTERLIQUID ML240L RGB V2,90.99,"650,1800","6,27",Black,240
be quiet! Dark Rock Pro 4,64.9,1500,"12.8,24.3",Black,
Thermalright Peerless Assassin 120 SE,33.9,1550,25.6,Black,
Corsair iCUE H150i ELITE CAPELLIX XT,174.99,"550,2100","5,34.1",Black,360
NZXT Kraken Elite 360 RGB,282.63,"500,1800","17.9,30.6",White,360
Noctua NH-D15 chromax.black,119.95,"300,1500","19.2,24.6",Black,
Deepcool AG400 BK ARGB,29.98,"500,2000",31.6,Black,
NZXT Kraken 240,127.01,"500,1800","17.9,30.6",Black,240
Corsair iCUE H100i RGB ELITE,119.99,"400,1850","5,28.9",Black,240
ARCTIC Liquid Freezer II 360,139.99,"800,2000",,Black,360
Deepcool AK400,31.98,"500,1850",29,Black / Silver,
NZXT Kraken Elite 360 RGB,286.99,"500,1800","17.9,30.6",Black,360
Thermalright Phantom Spirit 120 SE,35.9,1500,25.6,Black / Silver,
NZXT Kraken 240 RGB,177.99,"500,1800","17.9,30.6",White,240
Noctua NH-D15,109.95,"300,1500","19.2,24.6",,
Noctua NH-U12S chromax.black,89.95,"300,1500","18.6,22.4",Black,
Thermalright Peerless Assassin 120 SE WHITE ARGB,35.9,1550,25.6,White,
Corsair iCUE H150i ELITE LCD XT,234.99,"550,2100","5,34.1",Black,360
NZXT Kraken 360,164.03,"500,1800","17.9,30.6",Black,360
Cooler Master Hyper 212 RGB Black Edition,44.99,"650,2000","8,30",,
Thermalright Assassin X 120 Refined SE,17.89,1550,25.6,Black / Silver,
ARCTIC Liquid Freezer II 240,89.99,"200,1800",,Black,240
Deepcool AK620,50.69,"500,1850",28,Black / Silver,
be quiet! Pure Rock 2 Black,29.99,1500,"19.1,26.8",Black,
Deepcool LS520 SE,70.98,"500,2250","28.2,32.9",Black,240
AMD Wraith Prism,,2800,42,,
Deepcool LT720,107.99,"500,2250",32.9,Black / Gray,360
Deepcool AK620 ZERO DARK,69.98,"500,1850",28,Black,
Corsair iCUE H100i ELITE CAPELLIX XT,144.99,"550,2100","5,34.1",Black,240
Thermalright Peerless Assassin 120 SE ARGB,,1550,25.6,Black,
Corsair iCUE H150i ELITE CAPELLIX XT,184.99,"550,2100",,White,360
ID-COOLING SE-214-XT,18.98,"500,1500","13.8,30.5",Black,
Asus ROG RYUJIN II ARGB,586.97,,,Black,360
Lian Li Galahad II Trinity SL-INF,279.54,2100,29,White,360
Deepcool LS720,99.98,"500,2250",32.9,Black,360
Noctua NH-U12A chromax.black,129.94,"450,2000","18.8,22.6",Black,
ARCTIC Liquid Freezer II 360 A-RGB,132.99,"200,1800",22.5,Black / Gray,360
Deepcool AK620,51.99,"500,1850",28,White,
ARCTIC Liquid Freezer II 280,103.99,"200,1700",,Black,280
Thermalright Phantom Spirit 120 SE ARGB,35.9,1500,25.6,Black / Silver,
Deepcool LS720 SE,87.99,"500,2250","28.2,32.9",Black,360
NZXT Kraken 360 RGB,211.99,"500,1800","17.9,30.6",White,360
NZXT Kraken Elite 360,268.99,"500,1800","17.9,30.6",Black,360
Lian Li Galahad II Trinity SL-INF,195,2100,29,Black,360
Intel E97379-001,10.02,"1200,2800",22,Silver / Black,
Thermalright Assassin X Refined SE ARGB,18.89,1550,25.6,Black / Silver,
NZXT Kraken Z73 RGB,492.81,"500,1500","22,33",Black,360
MSI MAG CORELIQUID 240R V2,89.99,"500,2000","14.3,34.3",Black,240
Deepcool AK400,35.98,"500,1850",29,White,
be quiet! Pure Rock Slim 2,26.9,,"13.1,25.4",Black / Silver,
NZXT Kraken 240 RGB,176.9,"500,1800","17.9,30.6",Black,240
Cooler Master MA621P TR4,697.19,"600,1800",31,Black / Silver,
ID-COOLING FROSTFLOW X,54.99,"700,1800","18,35.2",,240
Deepcool LS720 SE WH,112.98,"500,2250","28.2,32.9",White,360
ARCTIC Liquid Freezer II 420,120.5,"200,1700",,Black,420
Corsair iCUE H100i ELITE CAPELLIX XT,164.99,"550,2100","5,34.1",White,240
Thermalright Frozen Notte ARGB,,2000,27.7,Black,240
Thermalright Assassin King SE ARGB,28.49,1550,25.6,White,
Noctua NH-L9i chromax.black,54.95,"600,2500","14.8,23.6",Black,
Deepcool LT520,87.99,"500,2250",32.9,Black / Gray,240
MSI MAG CORELIQUID 360R V2,109.99,"500,2000","14.3,34.3",Black,360
Thermaltake UX100,15.98,1800,26.92,Black,
Corsair iCUE H150i RGB ELITE,154.99,"400,1850","19,35.8",Black,360
Cooler Master MasterLiquid 360L Core,119.99,"350,1750",27.2,Black,360
Noctua NH-L9i-17xx chromax.black,54.95,"600,2500","14.8,23.6",Black,
NZXT Kraken X73,214.52,"500,2000","21,36",Black,360
Asus ROG Ryujin III ARGB,329.99,"600,2200",36.45,Black,360
Corsair iCUE H100x RGB ELITE,,1500,"7,28",Black,240
NZXT Kraken 280,142.99,"500,1500","19.4,32.1",Black,280
Corsair iCUE H150i ELITE LCD XT,239.99,"550,2100","5,31.1",White / Gray,360
Noctua NH-L12S,59.95,"450,1850","16.8,23.9",,
Deepcool AK500 ZERO DARK,54.99,"500,1850","25.9,31.5",Black,
Scythe Fuma 3,49.99,"200,1500","4,28.6",Black / Silver,
be quiet! Dark Rock 4,74.9,1400,,Black,
NZXT T120 RGB,34.99,"500,1800","17.2,27.5",White,
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",Black,360
Cooler Master MASTERLIQUID ML120L RGB V2,74.98,"650,1800","6,27",Black,120
Noctua NH-D9L,54.95,"400,2000","16.3,22.8",,
Deepcool AK400 ZERO DARK,39.98,"500,1850",29,Black,
ARCTIC Liquid Freezer II 360 Rev. 2,139.99,"200,1800",,Black,360
Deepcool LT720 WH,99.99,"500,2250",32.9,White,360
Deepcool AK620 DIGITAL,79.98,"500,1850",28,Black,
Vetroo V5,29.99,"800,1700",30.8,Black,
Cooler Master Hyper 212 Halo,41.28,"650,2050",27,Black,
Deepcool AG400,21.99,"500,2000",31.6,Black / Silver,
Thermalright Phantom Spirit,37.9,1500,25.6,Black / Silver,
Noctua NH-D15S chromax.black,109.95,"300,1500","19.2,24.6",Black,
Noctua NH-L9a-AM4,44.95,"600,2500","14.8,23.6",Brown,
Thermalright Peerless Assassin,34.9,1550,25.6,Gray,
ID-COOLING SE-214-XT,,"500,1500","13.8,30.5",White,
be quiet! Pure Rock 2 FX,44.9,,"7.9,24.4",Black,
NZXT T120 RGB,54.98,"500,1800","17.2,27.5",Black,
Cooler Master Hyper 212 EVO,64.16,"600,2000","9,36",,
NZXT Kraken 120,82.99,"500,2000","21,36",Black,120
Noctua NH-U9S chromax.black,69.95,"400,2000","16.3,22.8",Black,
ARCTIC Freezer 34 eSports DUO,42.95,"200,2100",24.4,White / Black,
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"600,2500","14.8,23.6",Black,
Cooler Master MasterLiquid ML240L ARGB V2,81.99,"650,1800","8,27",Black,240
Deepcool AK400 DIGITAL,49.99,"500,1850",28,Black,
Deepcool LS520 SE WH,72.98,"500,2250","28.2,32.9",White,240
Cooler Master Hyper 212 Spectrum V3,26.98,"650,1750",27.2,Black / Silver,
EK Nucleus AIO CR240 Dark,119.99,"550,2300",36,Black,240
Thermalright Peerless Assassin 120 Black,41.9,1550,25.6,Black,
Corsair iCUE LINK H150i RGB,239.99,"480,2400",,Black,360
Deepcool ASSASSIN IV,99.99,"500,1700","22.6,29.3",Black,
Cooler Master Hyper 212 Black Edition,43.99,"650,2000","6.5,26",Black,
Corsair iCUE H150i ELITE CAPELLIX,364.4,2400,"10,37",Black,360
be quiet! Dark Rock Pro 5,99.9,"1300,2000","8.9,23.3",Black,
Noctua NH-U12A,119.95,"450,2000","18.8,22.6",Brown,
Cooler Master MasterLiquid 240L Core,99.99,"350,1750",27.2,Black,240
Corsair iCUE H170i ELITE LCD XT,299.99,"500,1700","5,33.8",Black,420
NZXT Kraken Elite 240 RGB,231.99,"500,1800","17.9,30.6",White,240
Thermalright Frozen Notte ARGB,80.9,2000,27.7,White,360
NZXT Kraken Z63,244.69,"500,1800","21,38",Black,280
Cooler Master Hyper H412R,22.99,"600,2000",29.4,Black,
Lian Li Galahad II Trinity,124,2450,35.4,White,360
EK Nucleus AIO CR360 Dark,135.99,"550,2300",36,Black,360
Noctua NH-U12S redux,54.95,"450,1700",25.1,Gray / Silver,
Thermalright Peerless Assassin 120 White,,1550,25.6,White,
Thermalright Assassin X 120 PLUS V2,22.29,1500,25.6,Black / Silver,
ARCTIC Liquid Freezer II 240 A-RGB,111.99,"200,1800",22.5,Black / Gray,240
Thermalright Frozen Prism ARGB,46.9,1850,27,Black,240
Asus ROG STRIX LC II ARGB,139.99,"800,2500",37.6,Black,360
Cooler Master MasterLiquid ML360L ARGB V2,100.08,"650,1800","8,27",Black,360
Thermalright Frozen Notte ARGB,51.9,2000,27.7,White,240
Noctua NH-L9i,44.95,"600,2500","14.8,23.6",Brown,
NZXT Kraken X63,229.99,"500,2000","21,38",Black,280
