name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HP HyperX Cloud II,70.98,Circumaural,"15,25",true,false,Closed,Black / Red
HiFiMAN Susvara,5999,Circumaural,"6,75",false,false,Open,Silver / Brown
Razer BlackShark V2 X,39.97,Circumaural,"12,28",true,false,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",326.99,Circumaural,"10,40",true,true,Closed,Black
Logitech G435,49.88,Circumaural,"20,20",true,true,Closed,Black / Yellow
Logitech PRO X 2 LIGHTSPEED,235,Circumaural,"20,20",true,true,Closed,Black
Logitech Pro X,69.98,Circumaural,"20,20",true,false,Closed,Black
Logitech PRO X 2 LIGHTSPEED,279.99,Circumaural,"20,20",true,true,Closed,White
Beyerdynamic DT 770 PRO,169.99,Circumaural,"5,35",false,false,Closed,Gray
Logitech ASTRO A50 X,399.99,Circumaural,"20,20",true,true,Closed,Black
Corsair Virtuoso RGB,119.99,Circumaural,"20,40",true,true,Closed,White
HP HyperX Cloud III,129.96,Circumaural,"10,21",true,true,Closed,Black
Razer BlackShark V2 Pro (2023),149.98,Circumaural,"12,28",true,true,Closed,Black
SteelSeries Arctis Nova 1,38.99,Circumaural,"20,22",true,false,Closed,Black
SteelSeries Arctis Nova 7,167.01,Circumaural,"20,22",true,true,Closed,Black
Corsair VOID RGB ELITE,119.99,Circumaural,"20,30",true,true,Closed,White
HP HyperX Cloud Stinger 2 Core,29.99,Circumaural,"10,25",true,false,Closed,Black
Beyerdynamic DT990 Pro Black Edition,175,Circumaural,"5,35",false,false,Open,Black
HP HyperX Cloud Alpha,142.18,Circumaural,"15,21",true,true,Closed,Black / Red
Asus ROG Delta II,210.99,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD 560S,199.95,Circumaural,"6,38",false,false,Open,Black
HP HyperX Cloud III,118.4,Circumaural,"10,21",true,true,Closed,Black / Red
Logitech ASTRO A50 X,339.98,Circumaural,"20,20",true,true,Closed,White
HiFiMAN HE1000 Stealth,1119,Circumaural,"8,65",false,false,Open,Silver / Brown
Corsair VOID RGB ELITE,109.99,Circumaural,"20,30",true,true,Closed,Black
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Black
Razer Barracuda X,67.98,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Nova 5,148,Circumaural,"20,22",true,true,Closed,Black
Logitech G432,39.99,Circumaural,"20,20",true,false,Closed,Black / Blue
Beyerdynamic DT 990 Pro 250,,Circumaural,"5,35",false,false,Open,Black / Gray
Sony WH-1000XM6,448,Circumaural,"4,40",true,true,Closed,Black
Syba CM-502,5.99,Circumaural,"20,20",true,false,Closed,Black / Silver
Audio-Technica ATH-M50x,159,Circumaural,"15,28",false,false,Closed,Black / Silver
Sennheiser HD 800 S,1999.95,Circumaural,"4,51",false,false,Open,Black / Silver
Logitech G733,159.99,Circumaural,"20,20",true,true,Closed,Black
Corsair VIRTUOSO MAX,329.99,Circumaural,"20,40",true,true,Closed,Black
Logitech Pro X,169.99,Circumaural,"20,20",true,true,Closed,Black
Razer Kraken V4 Pro,353.5,Circumaural,"20,28",true,true,Closed,Black
HP HyperX Cloud Alpha,69.98,Circumaural,"13,27",true,false,Closed,Black / Red
Beyerdynamic DT1990 Pro,399.95,Circumaural,"5,40",false,false,Open,Black
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",240.68,Circumaural,"10,40",true,true,Closed,White / Silver
Logitech G735,229,Circumaural,"20,20",true,true,Closed,White
Sennheiser HD 820,2199.94,Circumaural,"6,48",false,false,Closed,Black
Philips SHP9500,84.99,Circumaural,"12,35",false,false,Open,Black
Audeze Maxwell for Xbox Series X|S,329,Circumaural,"10,50",true,true,Closed,Black / Green
Razer Kraken V3 X,44.99,Circumaural,"12,28",true,false,Closed,Black
Logitech ASTRO A50 (GEN 5),299.99,Circumaural,"20,20",true,true,Closed,Black / Red
SteelSeries Arctis Pro,184.49,Circumaural,"10,40",true,true,Closed,Black
Razer Barracuda Pro,199.99,Circumaural,"20,20",true,true,Closed,Black
Patriot V360,13.99,Circumaural,,true,false,Closed,Black / Red
Corsair HS80 RGB,159.99,Circumaural,"20,40",true,true,Closed,Black
Logitech G535 LIGHTSPEED,99.94,Circumaural,"20,20",true,true,Closed,Black / Blue
Corsair VOID WIRELESS v2,129.99,Circumaural,"20,20",true,true,Closed,Black
Corsair HS65 SURROUND,69.98,Circumaural,"20,20",true,false,Closed,Black
HP HyperX Cloud II,89.99,Circumaural,"15,20",true,true,Closed,Black / Red
Sennheiser HD 660S2,470.06,Circumaural,"8,41.5",false,false,Open,Black
Razer Barracuda X,94.99,Circumaural,"20,20",true,true,Closed,White / Gray
Audeze Maxwell for PlayStation 5,298.89,Circumaural,"10,50",true,true,Closed,Black / Blue
HP HyperX Cloud III,79.98,Circumaural,"10,21",true,false,Closed,Black
Sony WH1000XM4,278,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Nova 1,59,Circumaural,"20,22",true,false,Closed,White
Corsair Virtuoso RGB,119.99,Circumaural,"20,40",true,true,Closed,Black
Sennheiser HD 650,350.86,Circumaural,"10,39.5",false,false,Open,Black
Razer BlackShark V2 Pro (2023),189.99,Circumaural,"12,28",true,true,Closed,White / Black
Logitech G733,159.99,Circumaural,"20,20",true,true,Closed,White / Gray
Corsair VIRTUOSO RGB Wireless XT,279.99,Circumaural,"20,40",true,true,Closed,Black / Silver
Beyerdynamic DT 900 Pro X,269.99,Circumaural,"5,40",false,false,Open,Black / Gray
Corsair VOID WIRELESS v2,129.99,Circumaural,"20,20",true,true,Closed,White
Razer BlackShark V2 Pro,199,Circumaural,"12,28",true,true,Closed,Black
Corsair HS80 MAX WIRELESS,189.99,Circumaural,"20,40",true,true,Closed,Gray / Black
SteelSeries Arctis 1,104.99,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD600,296,Circumaural,"12,39",false,false,Open,Black
Beyerdynamic MMX 300 (2nd Generation),238.2,Circumaural,"5,35",true,false,Closed,Black
Beyerdynamic DT 1770 PRO,369.99,Circumaural,"5,40",false,false,Closed,Black
Corsair HS80 RGB,97.16,Circumaural,"20,40",true,false,Closed,White
Astro A50 + Base Station,219.99,Circumaural,"20,20",true,true,Closed,Black / Gold
HP HyperX CloudX,49.99,Circumaural,"15,25",true,false,Closed,Black / Silver
Sony WH-1000XM6,448,Circumaural,"4,40",true,true,Closed,White
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",272.68,Circumaural,"10,40",true,true,Closed,Black
HP HyperX Cloud III,77.98,Circumaural,"10,21",true,false,Closed,Black / Red
Apple MD827LL/A,25.48,Earbud,,true,false,Closed,White
Razer Kraken V3 Pro,149.99,Circumaural,"20,20",true,true,Closed,Black
