name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 980 Pro,169.99,2000,0.085,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,60.99,1000,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,97.5,1000,0.098,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro,318.35,4000,0.08,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,106.13,1000,0.106,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,169.99,2000,0.085,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,117.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,156.99,2000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X,91.92,1000,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,2302.98,16000,0.144,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,118,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,104.99,1000,0.105,SSD,1024,2.5,SATA 6.0 Gb/s
Western Digital Black SN770,84.15,1000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,36.99,512,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,1189.99,8000,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,69.94,500,0.14,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,60.99,1000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,479.99,24000,0.02,7200,512,3.5,SATA 6.0 Gb/s
Samsung 990 Pro,110.08,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,71,1000,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,42.99,500,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,138.82,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,309.99,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,79.99,4000,0.02,5400,256,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,149.99,2000,0.075,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,39.18,1000,0.039,7200,64,3.5,SATA 6.0 Gb/s
Crucial P3 Plus,237.99,4000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 750,2488.87,1200,2.074,SSD,,PCIe,PCIe x4
Samsung 870 Evo,189.99,2000,0.095,SSD,2048,2.5,SATA 6.0 Gb/s
Silicon Power UD90,108.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,60.99,1000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,114.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,61.99,1000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,124,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,,2000,,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,594.9,8000,0.074,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700,426.99,4000,0.107,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate BarraCuda,45,1000,0.045,7200,64,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,105.99,2000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,138.99,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,51.6,500,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,599.99,24000,0.025,7200,512,3.5,SATA 6.0 Gb/s
Crucial T705,484.99,4000,0.121,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Kingston KC3000,162.99,2048,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,322.62,4000,0.081,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,129.99,8000,0.016,5400,256,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,79.98,500,0.16,SSD,512,2.5,SATA 6.0 Gb/s
Crucial T700,151.99,1000,0.152,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston A400,27.99,240,0.117,SSD,,2.5,SATA 6.0 Gb/s
Samsung 980 Pro,89.99,500,0.18,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,123.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Platinum P41,164.99,2000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482,131.98,2000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,372.99,4000,0.093,SSD,4096,2.5,SATA 6.0 Gb/s
Lexar NM790,148.36,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M371,64.99,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Patriot P300,21.99,256,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,269.99,2000,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO NH,979.99,8000,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,56.99,1000,0.057,SSD,,2.5,SATA 6.0 Gb/s
Samsung 990 EVO,155.99,2000,0.078,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Crucial MX500,87.74,1000,0.088,SSD,1024,2.5,SATA 6.0 Gb/s
Leven JS600,13.99,128,0.109,SSD,,2.5,SATA 6.0 Gb/s
Crucial P3 Plus,54.49,500,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,199.99,2000,0.1,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,36.99,512,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,91.38,1000,0.091,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,99.99,1024,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,69.99,1000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,192.77,2000,0.096,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,43.93,500,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,71.45,1000,0.071,SSD,,M.2-2280,M.2 PCIe 3.0 X4
VisionTek QLC,1499.99,8000,0.187,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,84.99,1000,0.085,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,28,1000,0.028,7200,64,3.5,SATA 6.0 Gb/s
Sabrent Rocket 5,729.99,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980 Pro w/Heatsink,183.55,2000,0.092,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,189.99,2000,0.095,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,139.99,4000,0.035,7200,256,3.5,SATA 6.0 Gb/s
Kingston A400,37.79,480,0.079,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,31.99,250,0.128,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,172.99,2000,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,58.99,1000,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M480 PRO,84,1000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,17.98,128,0.14,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,159.99,2000,0.08,SSD,2048,2.5,SATA 6.0 Gb/s
Leven JPS800,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,119.99,1000,0.12,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO XT,969.99,8000,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,69.92,500,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,30.99,512,0.061,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,101.91,4000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Leven JPS600,101.99,2000,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair Neutron XTi,,1920,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 980,73.98,500,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,61.99,960,0.065,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MS30,33.99,512,0.066,SSD,,M.2-2280,M.2 SATA
Lexar NM790,259.99,4000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,149.99,1000,0.15,SSD,1024,2.5,SATA 6.0 Gb/s
Seagate Exos X14,198.99,12000,0.017,7200,256,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,61.26,250,0.245,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,53,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,96.99,2000,0.048,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power UD90,71.98,1000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
