name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core,39.99,Gaming,,RGB,false,Wired,Black
Razer Huntsman Mini,99.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
Microsoft Natural Desktop 7000,769.95,Ergonomic,,,false,Wireless,Black / Silver
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
SteelSeries Apex Pro TKL (2023),249.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K120,12.34,Standard,,,false,Wired,Black
Redragon K552,33.99,Gaming,Outemu Blue,Red,true,Wired,Black
Logitech G915 Lightspeed,199.97,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
Razer Huntsman Mini,95,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
SteelSeries Apex 3 TKL RGB,35.5,Gaming,,RGB,true,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro,198.99,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Redragon K582 SURARA,39.99,Gaming,Outemu Red,RGB,false,Wired,Black
Logitech G413 SE,49.99,Gaming,Kailh LT Brown,White,true,Wired,Black
Corsair K55 RGB PRO,59.99,Gaming,,Multicolor,false,Wired,Black
Razer BlackWidow V3,99.99,Gaming,Razer Green,RGB,true,Wired,Black
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,false,Wired,Black
SteelSeries Apex Pro Mini,139.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Logitech PRO X,199,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",White
Microsoft CXD-00001,,Ergonomic,,,false,Bluetooth Wireless,Black
SteelSeries Apex 100,19.44,Gaming,,Blue,false,Wired,Black
Verbatim 99201,10,Standard,,,false,Wired,Black
Corsair K100 RGB,174.99,Gaming,Corsair OPX,RGB,false,Wired,Black
Asus ROG Azoth,169.99,Mini,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G715,161.88,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G PRO,99.99,Gaming,GX Blue,RGB,true,Wired,Black
Tecware Tecware Phantom L,19.98,Gaming,Outemu Brown,RGB,true,Wired,Black / Silver
SteelSeries Apex 7 TKL,79.98,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Black
G.Skill KM360,49.99,Standard,Cherry MX Red,White,true,Wired,White
Tecware Phantom RGB,30,Gaming,Outemu Red,RGB,true,Wired,Black
Asus ROG Strix Scope II 96,179.99,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 TKL,164.9,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Wooting Two HE,,Gaming,Lekker linear60,RGB,false,Wired,Black
Asceny One,19.98,Mini,Gateron Blue Optical,RGB,true,Wired,Black
Corsair K100 AIR Wireless,199.99,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
