name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,43.99,"4,3200","2,8",2.749,Black / Yellow,10,16
Corsair Vengeance 32 GB,109.99,"5,5600","2,16",3.437,Black,12.857,36
G.Skill Trident Z5 RGB 32 GB,117.99,"5,6000","2,16",3.687,Black,12,36
Corsair Vengeance RGB Pro 32 GB,99.99,"4,3600","2,16",3.125,Black,10,18
G.Skill Trident Z5 RGB 64 GB,217.99,"5,6400","2,32",3.406,Black / Silver,10,32
G.Skill Flare X5 32 GB,106.66,"5,6000","2,16",3.333,Black,12,36
Corsair Vengeance LPX 32 GB,81.99,"4,3600","2,16",2.562,Black / Yellow,10,18
Corsair Vengeance RGB 32 GB,127.99,"5,6000","2,16",4,White,12,36
TEAMGROUP T-Force Delta RGB 32 GB,109.99,"5,6000","2,16",3.437,White,10,30
Corsair Vengeance RGB Pro 16 GB,55.99,"4,3200","2,8",3.499,Black,10,16
Corsair Vengeance 32 GB,127.99,"5,6000","2,16",4,Black / Gray,10,30
Corsair Vengeance RGB 32 GB,119.99,"5,6000","2,16",3.75,Black,13.333,40
TEAMGROUP T-Force Delta RGB 32 GB,109.99,"5,6000","2,16",3.437,Black,10,30
Corsair Vengeance 16 GB,69.98,"5,5200","2,8",4.374,Black,15.385,40
Corsair Dominator Platinum 32 GB,1674.47,"4,2666","4,8",52.327,Black / Silver,11.253,15
Corsair Vengeance LPX 16 GB,43.99,"4,3600","2,8",2.749,Black,10,18
G.Skill Ripjaws V 32 GB,69.98,"4,3200","2,16",2.187,Black,10,16
Silicon Power GAMING 16 GB,35.97,"4,3200","2,8",2.248,Black / Gray,10,16
G.Skill Ripjaws S5 32 GB,114.99,"5,6000","2,16",3.593,Black,10,30
Corsair Vengeance 64 GB,169.99,"5,5200","2,32",2.656,Black,15.385,40
G.Skill Trident Z5 Neo RGB 32 GB,117.99,"5,6000","2,16",3.687,Black,10,30
Corsair Vengeance RGB Pro SL 32 GB,94.99,"4,3600","2,16",2.968,White / Black,10,18
Corsair Vengeance RGB 32 GB,117.99,"5,6000","2,16",3.687,Black,12,36
Corsair Vengeance LPX 32 GB,76.98,"4,3200","2,16",2.406,Black / Yellow,10,16
G.Skill Flare X5 32 GB,106.99,"5,6000","2,16",3.343,Black,10,30
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.437,Black,10,16
Corsair Vengeance RGB Pro 16 GB,62.99,"4,3200","2,8",3.937,White,10,16
G.Skill Trident Z5 Neo 64 GB,209.99,"5,6000","2,32",3.281,Black / Silver,10,30
Corsair Vengeance 32 GB,102.99,"5,5200","2,16",3.218,Black,15.385,40
G.Skill Ripjaws V 16 GB,36.54,"4,3200","2,8",2.284,Black,10,16
Silicon Power GAMING 32 GB,56.97,"4,3200","2,16",1.78,Black,10,16
Corsair Dominator Titanium 64 GB,319.99,"5,6600","2,32",5,White,9.697,32
Kingston FURY Beast 16 GB,44.99,"4,3200","2,8",2.812,Black,10,16
Corsair Vengeance RGB 128 GB,439.99,"5,5600","4,32",3.437,Black,14.286,40
G.Skill Trident Z5 RGB 32 GB,134.99,"5,7200","2,16",4.218,Black,9.444,34
Corsair Vengeance RGB 32 GB,119.99,"5,6000","2,16",3.75,Gray,10,30
TEAMGROUP T-Force Vulcan Z 32 GB,63.99,"4,3600","2,16",2,Black,10,18
Silicon Power Value Gaming 32 GB,92.97,"5,6000","2,16",2.905,Black,10,30
G.Skill Ripjaws V 16 GB,49.99,"4,3600","2,8",3.124,Black,8.889,16
TEAMGROUP T-Force Delta RGB 32 GB,94.99,"5,6000","2,16",2.968,White,12.667,38
G.Skill Trident Z RGB 32 GB,115.94,"4,3200","2,16",3.623,Black,10,16
Corsair Vengeance RGB 64 GB,214.99,"5,6000","2,32",3.359,Black,10,30
Corsair Vengeance 64 GB,239.99,"5,6400","2,32",3.75,Black / Gray,10,32
TEAMGROUP T-Force Delta RGB 32 GB,75.98,"4,3600","2,16",2.374,White,10,18
