name,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio
KOORUI 24E3,109.99,24,"1920,1080",165,1,IPS,16:9
Asus TUF Gaming VG27AQ,249,27,"2560,1440",165,1,IPS,16:9
LG 65EP5G-B,9333,65,"3840,2160",120,0.1,OLED,16:9
MSI MAG 275QF,199.99,27,"2560,1440",180,0.5,IPS,16:9
Asus ROG Swift OLED PG32UCDM,1199.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
Acer Acer Nitro XV272U W2bmiiprx,219.99,27,"2560,1440",240,1,IPS,16:9
LG 24MR400-B,96,23.8,"1920,1080",100,5,IPS,16:9
MSI G255F,119.99,24.5,"1920,1080",180,1,IPS,16:9
Asus TUF Gaming VG27AQA1A,259.99,27,"2560,1440",170,,VA,16:9
Asus ROG Swift OLED PG27AQDP,921.12,26.5,"2560,1440",480,0.03,OLED,16:9
Samsung Odyssey Neo G95NC,1599.99,57,"7680,2160",240,1,VA,32:9
AOC C27G2Z,149.99,27,"1920,1080",240,,VA,16:9
Asus TUF Gaming VG27AQ3A,189,27,"2560,1440",180,1,IPS,16:9
Samsung Odyssey G60SD,846.27,27,"2560,1440",360,0.03,QD-OLED,16:9
Samsung Odyssey OLED G8,1192.95,32,"3840,2160",240,0.03,OLED,16:9
Asus TUF Gaming VG279QM,199.99,27,"1920,1080",280,1,IPS,16:9
Samsung Odyssey G55C,289.9,32,"2560,1440",165,1,VA,16:9
Dell Alienware AW3225QF,1199.99,31.6,"3840,2160",240,0.03,QD-OLED,16:9
Samsung Odyssey G9 G93SC,1599.99,49,"5120,1440",240,0.03,QD-OLED,32:9
Asus ROG Swift OLED PG27AQDM,739.99,26.5,"2560,1440",240,0.03,OLED,16:9
AOC Q27G3XMN,,27,"2560,1440",180,1,Mini LED VA,16:9
MSI MAG 27CQ6F,197.99,27,"2560,1440",180,0.5,VA,16:9
Planar PLL2210MW,55,22,"1920,1080",,5,,16:9
AOC Agon PRO AG276QZD2,484.49,26.7,"2560,1440",240,0.03,QD-OLED,16:9
MSI G272QPF E2,209.99,27,"2560,1440",180,1,IPS,16:9
Asus ROG Strix XG27ACS,267,27,"2560,1440",180,1,IPS,16:9
ViewSonic ELITE XG321UG,2499.98,32,"3840,2160",144,3,IPS,16:9
MSI G244PF E2,109.99,23.8,"1920,1080",180,1,IPS,16:9
Gigabyte M27Q,299.99,27,"2560,1440",170,,IPS,16:9
Samsung C24F390,69.99,24,"1920,1080",60,4,VA,16:9
LG UltraGear 32GS95UE-B,999.99,31.5,"3840,2160",240,0.03,OLED,16:9
Asus ROG Swift OLED PG27UCDM,1149,26.5,"3840,2160",240,0.03,QD-OLED,16:9
Dell Alienware AW3423DWF,899.99,34.2,"3440,1440",165,0.1,QD-OLED,21:9
BenQ XL2586X+,999.99,24.1,"1920,1080",600,,TN,16:9
Dell Alienware AW3425DW,799.99,34.2,"3440,1440",240,0.03,QD-OLED,21:9
MSI MAG 274QRFW,259.99,27,"2560,1440",180,1,IPS,16:9
Asus TUF Gaming VG27AQML1A,279,27,"2560,1440",260,1,IPS,16:9
Acer Nitro XV1 XV271U M3bmiiprx,199.99,27,"2560,1440",180,1,IPS,16:9
LG UltraGear 27GR75Q-B,264,27,"2560,1440",165,1,IPS,16:9
ASRock Phantom Gaming OLED PGO27QFV,549.99,27,"2560,1440",360,0.03,QD-OLED,16:9
Asus ROG Strix OLED XG27ACDNG,669,26.5,"2560,1440",360,0.03,QD-OLED,16:9
AOC Q27G4X,,27,"2560,1440",180,1,IPS,16:9
Dell Alienware AW2725DF,607.12,26.7,"2560,1440",360,0.03,QD-OLED,16:9
ASRock PG27QFT1B,155.99,27,"2560,1440",180,,IPS,16:9
Pixio PX257P,99.99,24.5,"1920,1080",144,1,IPS,16:9
Asus ROG Strix XG27AQDMG,679,26.5,"2560,1440",240,0.03,WOLED,16:9
MSI MPG 271QRX QD-OLED,1016.4,27,"2560,1440",360,0.03,QD-OLED,16:9
Samsung Odyssey G4,219.99,27,"1920,1080",240,1,IPS,16:9
MSI MPG 322URX QD-OLED,1299.99,32,"3840,2160",240,0.03,QD-OLED,16:9
LG UltraGear 34GS95QE-B,1149.99,34,"3440,1440",240,0.03,OLED,21:9
LG UltraGear OLED 45GX950A-B,1997,44.5,"5120,2160",165,0.03,OLED,64:27
LG UltraGear 27GR83Q-B,349.99,27,"2560,1440",240,1,IPS,16:9
LG UltraGear OLED 27GX790A-B,937,27,"2560,1440",480,0.03,OLED,16:9
LG 27GL83A-B,242,27,"2560,1440",144,1,IPS,16:9
Acer VG271U M3bmiipx,159,27,"2560,1440",180,1,IPS,16:9
Asus TUF Gaming VG249QL3A,165.99,23.8,"1920,1080",180,1,IPS,16:9
Gigabyte ‎M28U,329.99,28,"3840,2160",144,1,IPS,16:9
Dell UP3218K,3243.58,31.5,"7680,4320",60,6,IPS,16:9
Asus ROG Swift OLED PG32UCDP,1219.99,31.5,"3840,2160",240,0.03,WOLED,16:9
LG UltraGear OLED 27GS93QE-B,699.99,26.5,"2560,1440",240,0.03,OLED,16:9
Asus TUF Gaming VG34VQL3A,349,34,"3440,1440",180,1,VA,21:9
Dell Alienware AW2523HF,327.97,24.5,"1920,1080",360,1,IPS,16:9
Acer Predator X27U bmiipruzx,,27,"2560,1440",240,0.03,OLED,16:9
MSI MAG 255XFV,129.99,24.5,"1920,1080",250,0.5,VA,16:9
AOC 24G4XE,,24,"1920,1080",180,,IPS,16:9
Samsung Odyssey G50D,219.95,27,"2560,1440",180,1,IPS,16:9
Gigabyte GS27QA,297.77,27,"2560,1440",180,,IPS,16:9
Asus VG248QG,169.99,24,"1920,1080",165,0.5,TN,16:9
Asus TUF Gaming VG27AQ1A,207,27,"2560,1440",170,,IPS,16:9
Samsung Odyssey OLED G6 (G61SD),637.17,27,"2560,1440",240,0.03,QD-OLED,16:9
Acer Nitro EDA270U P,179.99,27,"2560,1440",170,,VA,16:9
ASRock PG27QFT2A,,27,"2560,1440",180,,IPS,16:9
Samsung Odyssey G5,,34,"3440,1440",165,,VA,21:9
MSI Pro,84.99,24.5,"1920,1080",100,4,IPS,16:9
KTC Q24T09,144.99,24,"2560,1440",180,,IPS,16:9
ASRock PG27F15RS1A,,27,"1920,1080",240,,VA,16:9
LG 27GS75Q-B,289.99,27,"2560,1440",180,1,IPS,16:9
Sony INZONE M10S,1098,27,"2560,1440",480,0.03,OLED,16:9
Gigabyte M27Q-X,279.99,27,"2560,1440",240,1,IPS,16:9
AOC CU34G2XP/BK,289.99,34,"3440,1440",180,1,VA,21:9
MSI G242L E14,79.99,23.8,"1920,1080",144,,IPS,16:9
Acer Nitro ‎KG271 M3biip,199.99,27,"1920,1080",180,0.5,IPS,16:9
LG UltraGear 32GS95UV-W,1299.99,31.5,"3840,2160",240,0.03,OLED,16:9
Asus ROG Swift Pro PG248QP,,24.1,"1920,1080",540,0.2,TN,16:9
MSI MAG 27C6F,129.99,27,"1920,1080",180,0.5,VA,16:9
