name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 HERO,35.99,Optical,Wired,25600,Right,Black
Logitech G Pro X Superlight,109.99,Optical,Wireless,25400,Right,Black
Logitech G305 (Black),37.53,Optical,Wireless,12000,Right,Black
FinalMouse Air58 Ninja,589.97,Optical,Wired,3200,Right,Blue
Razer Basilisk V3,49.95,Optical,Wired,26000,Right,Black
Logitech G203 Lightsync,25.97,Optical,Wired,8000,Right,Black
Logitech G502 LIGHTSPEED,89.99,Optical,Wireless,25600,Right,Black
Logitech PRO X Superlight 2,149.99,Optical,"Wired, Wireless",32000,Right,Black
Logitech G Pro X Superlight,109.99,Optical,Wireless,25400,Right,White
Razer Basilisk X HyperSpeed,34.98,Optical,Wireless,16000,Right,Black / Green
Glorious Model O,79.98,Optical,Wireless,19000,Right,White
Logitech B100,7.99,Optical,Wired,800,,Black
Logitech G Pro Wireless,89.99,Optical,Wireless,25600,Both,Black
Logitech G502 X Plus,134,Optical,"Wired, Wired, Wireless",25600,Right,Black
SteelSeries Rival 3,29.65,Optical,Wired,8500,Right,Black
Logitech G305 (White),39.99,Optical,Wireless,12000,Right,White
Razer Basilisk V3 Pro + Mouse Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer DeathAdder Essential,21.2,Optical,Wired,6400,Right,White
Logitech PRO X Superlight 2,149.99,Optical,"Wired, Wireless",32000,Right,White
Corsair M65 RGB ELITE,29.99,Optical,Wired,17997,Right,Black
Logitech G700s,390.44,Laser,Wireless,8200,Right,Black
Glorious MODEL O,49.99,Optical,Wired,12000,Right,Black
Razer DeathAdder V3 Pro,143.4,Optical,Wireless,30000,Right,Black
Razer Viper Ultimate w/Dock,89.99,Optical,Wireless,20000,Both,Black
Logitech Anywhere Mouse MX,158,Laser,Wireless,,Both,Black
Razer Viper V2 Pro,126.99,Optical,Wireless,30000,Right,Black
Razer DeathAdder V2,,Optical,Wired,20000,Right,Black
Logitech G502 X Plus,155.08,Optical,"Wired, Wired, Wireless",25600,Right,White
Razer Basilisk V3 Pro,146.66,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000,Right,Gray
Verbatim 98616 Go Mini Travel Commuter,4.99,Optical,Wired,,Both,Blue
Corsair NIGHTSWORD RGB,82.89,Optical,Wired,18000,Right,Black
Redragon COBRA M711,19.98,Optical,Wired,10000,Right,Black / Multicolor
Razer Viper 8KHz,39.97,Optical,Wired,20000,Both,Black
Logitech G402,32.99,Optical,Wired,4000,Right,Black
Razer DeathAdder V3,69.98,Optical,Wired,30000,Right,Black
Asus ROG Chakram X Origin,139.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Razer Viper Mini,45,Optical,Wired,8500,Right,Black
Corsair DARK CORE RGB PRO SE,79.98,Optical,Wireless,18000,Right,Black
Logitech G305 LIGHTSPEED,64.59,Optical,Wireless,12000,Right,Black
Logitech G703 LIGHTSPEED,65.48,Optical,Wireless,25600,Right,Black
Logitech G502 Proteus Spectrum,62.99,Optical,Wired,12000,Right,Black
Razer Viper V2 Pro,148.63,Optical,Wireless,30000,Right,White
Razer DeathAdder Essential,22.99,Optical,Wired,6400,Right,Black / Green
Logitech G203 Lightsync,20.47,Optical,Wired,8000,Right,White
Logitech G502 X,113,Optical,"Wired, Wired, Wireless",25600,Right,Black
Glorious MODEL O,49.99,Optical,Wired,12000,Right,White
Corsair SCIMITAR RGB ELITE,60.99,Optical,Wired,18000,Right,Black
Razer Viper Ultimate,69.98,Optical,Wireless,20000,Both,Black
Corsair M65 RGB ULTRA WIRELESS,114.99,Optical,Wireless,26000,Right,Black / Silver
Razer DeathAdder V2 Pro,64.25,Optical,Wireless,20000,Right,Black
Razer DeathAdder V3 Pro,149.99,Optical,Wireless,30000,Right,White
Corsair Harpoon RGB,,Optical,Wired,6000,Right,Black
Verbatim Bravo,6.99,Optical,Wired,,Both,Black
Glorious Model O-,79.99,Optical,"Wired, Wireless",19000,Right,White
Logitech G502 X,59.99,Optical,Wired,25600,Right,Black
Asus ROG HARPE ACE AIM LAB EDITION,129.44,Optical,"Wired, Wireless",36000,Right,Black
Glorious Model O,,Optical,Wireless,19000,Right,Black
Razer DeathAdder V2 X HyperSpeed,54.9,Optical,"Wireless, Bluetooth Wireless",14000,Right,Black
