name,price,bd,dvd,cd,bd_write,dvd_write,cd_write
LG WH14NS40,99.99,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Lite-On iHAS124-14,28.89,,16,48,,24/8/8/24/6/8/5,48/24
Asus BW-16D1HT,128.99,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
LG WH16NS40,123,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
Asus DRW-24B1ST/BLK/B/AS,56,,16,48,,24/8/12/24/6/12/12,48/32
Pioneer BDR-212DBK,149.94,,,,16/14/2/2,16/8/8/16/6/8/5,40/24
Asus DRW-24D5MT,56.08,,16,48,,16/13/12/16/8/12/5,48/40
LG GH24NSD5,77.4,,16,48,,24/8/12/8/6/12/12,48/24
Pioneer BDR-209DBK,149.94,12,16,40,16/14/2/2,16/8/8/16/6/8/-,40/24
LG GH24NSD1,,,16,48,,24/8/16/24/6/12/12,48/32
LG GH24NSC0B,31.98,,16,48,,24/8/8/24/6/8/5,48/24
LG BU40N,93.18,,,,6/6/2/6,8/8/6/8/6/6/5,24/16
Panasonic UJ-265,126.68,6,8,24,6/6/-/-,8/8/6/8/8/6/-,24/16
Asus DRW-24F1ST,54.99,,16,48,,24/8/8/24/6/8/5,48/24
Silverstone TOB04,163.24,6,8,24,6/6/6/4,8/8/8/8/8/8/8,24/24
LG BH16NS55.AUAR10B,,,,40,8/8/8/6,16/12/12/16/12/12/5,48/40
LG GH24NSC0,31.98,,16,48,,24/8/8/24/6/8/5,48/24
Plextor PX-891SAF,33.02,,16,48,,24/8/12/24/6/12/12,48/32
Asus BW-12B1ST/BLK/G/AS,,8,16,48,12/4/2/2,16/8/8/16/6/8/12,48/24
Pioneer BDR-S13UBK,,12,16,48,16/14/2/2,,48/40
Asus BC-12D2HT,,,,,12/8/8/6,16/8/8/6/12/8/5,48/24
Pioneer BDR-211UBK,,12,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
LG BH16NS40,116.99,12,16,48,16/12/2/-,16/8/8/16/6/8/5,48/24
LG WH16NS60,,,,,16/12/-/-,-/-/-/-/-/-/5,48/24
LG GH24NSB0,43.99,,16,48,,24/8/8/24/6/8/5,48/24
Asus BW-14D1XT,,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Asus BC-12B1ST/BLK/B/AS,,12,16,48,,16/8/8/16/6/8/12,48/24
Pioneer BDC-207DBK,149.9,8,16,40,,16/8/8/16/6/8/5,40/24
Pioneer BDR-207MBK,,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
