name,price,amount
Arctic Silver 5 High-Density Polysynthetic Silver,7.95,3.5
Thermal Grizzly Kryonaut,6.99,1
Prolimatech PK-Zero,158.97,600
ARCTIC MX-6,6.15,4
Thermal Grizzly Kryonaut Extreme,21.99,2
Noctua NT-H1,8.94,3.5
Corsair TM30,7.99,3
ARCTIC MX-4 (2019),5.38,4
Arctic Silver Ceramique 2 Tri-Linear,3.85,2.7
Noctua NT-H2,12.95,3.5
Thermal Grizzly Kryonaut,19,5.5
ARCTIC MX-6,4.61,2
Thermal Grizzly Conductonaut Extreme,70.98,5
Corsair XTM70,19.98,3
Gelid Solutions GC-Extreme,9.99,3.5
ARCTIC MX-4,,4
Corsair XTM50,14.99,5
ARCTIC MX-6,14.06,8
Prolimatech PK-3 Nano Aluminum High-Grade,47.99,30
Thermal Grizzly Conductonaut,14.01,1
Prolimatech PK-3 Nano Aluminum High-Grade,11.71,1.5
KINGPINcooling KPx,57.82,30
Noctua NT-H2,30.6,10
Thermal Grizzly Conductonaut Extreme,19.98,1
Prolimatech PK-Zero,104.92,300
Thermal Grizzly Kryonaut,29.95,11.1
Thermal Grizzly Hydronaut,14.49,3.9
NZXT High-performance,,15
Thermalright TF9,3.99,1.5
ARCTIC MX-4,40.61,20
ARCTIC MX-4 (2019),6.15,8
Arctic Silver 5 High-Density Polysynthetic Silver,20.57,12
Prolimatech PK-3 Nano Aluminum High-Grade,24.85,5
Cooler Master HTK-002,8.09,0.01
Thermalright TF9,5.59,2.9
Thermal Grizzly Aeronaut,8.15,3.9
ARCTIC MX-4,10.77,20
Thermalright TF7,5.59,2
KINGPINcooling KPx,11.38,1
Cooler Master MasterGel Pro,15.5,1.5
Cooler Master CryoFuze,5.81,2
ARCTIC MX-5,18.87,2
KINGPINcooling KPx,28.7,10
Cooler Master IC ESSENTIAL E2,,3.5
NZXT High-performance,,3
Thermaltake CL-O002-GROSGM-A,12.99,40
Deepcool Z5,,3
Cooler Master IC ESSENTIAL E1,6.99,3.75
ARCTIC MX-4 (2019),19.23,45
StarTech Metal Oxide,9.99,1.5
Cooler Master MasterGel Maker,19.98,1.5
Thermalright TF4,,1.5
"Innovation Cooling Diamond ""7 Carat""",19.18,1.5
StarTech HeatGrease,5.48,20
Arctic Silver Ceramique 2 Tri-Linear,18.7,25
ARCTIC MX-2,,65
ARCTIC MX-2 2019 Edition,,4
be quiet! DC1,45,3
Deepcool Z3,,1.5
Thermaltake CL-O004-GROSGM-A,9.48,4
ARCTIC MX-5 Incl. Spatula,,2
Thermalright TF8,26.7,2
Deepcool DP-TIM-Z10-1,10.52,5
Coollaboratory Liquid Pro,10.97,0.15
EK EK-TIM Ectotherm,20.41,5
ARCTIC MX-5 Incl. Spatula,,8
Coollaboratory Liquid Ultra,11.36,0.15
Cooler Master CryoFuze Violet,,2
Thermalright TFX,,2
EVGA Frostbite 2,7.83,2.5
TUNIQ TX-4 Extreme Performance,12.99,1
