name,price,resolutions,connection,focus_type,os,fov
Logitech BRIO Ultra HD Pro,124.7,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",82
Razer Kiyo Pro Ultra,299.99,"4k,2k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",82
OBSBOT Tiny 2,,"4k,2k,1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",85.5
Elgato Facecam Pro,299.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",90
Insta360 Insta360 Link,249.99,"4k,1080p,720p",USB 2.0 Type-C,Auto,"Windows,OS X",79.5
Logitech C920 HD Pro,69.95,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Logitech C270,25.19,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
Anker PowerConf C200,59.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Razer Kiyo,49.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows",81.6
Adesso CyberTrack H3,12.99,"720p",USB 2.0 Type-A,Manual,"Windows,OS X",
Logitech C922 Pro Stream HD,99.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Razer Kiyo X,39.94,"1080p,720p",USB 2.0 Type-A,Auto,"Windows",82
Elgato Facecam Premium,149.99,"1080p,720p",USB 3.2 Gen 1 Type-A,Manual,"Windows,OS X",82
Logitech C920s HD Pro,59.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Green Extreme T200,14.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",65
Razer Kiyo Pro,94.98,"1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows",103
OBSBOT Tiny 4K,239,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",90
aoni A31,21.95,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux,ChromeOS,Android",84
Adesso Cybertrack H6,49.99,"4k",USB 2.0 Type-A,Fixed,"Windows,OS X",80
Logitech C925e,68.37,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux",78
Logitech StreamCam,129.71,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Logitech StreamCam,120.03,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Avermedia PW513,190.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",94
Asus Webcam C3,47.22,"1080p",USB 2.0 Type-A,,"Windows,OS X,ChromeOS",
Anker B600 Video Bar,199.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
