name,price,interface,color
TP-Link TG-3468,14.99,PCIe x1,
Intel E1G44ET2BLK,392.21,PCIe x4,
Asus XG-C100C,90.99,PCIe x4,
Intel X540-T2,103.99,PCIe x8,
TP-Link TX201,26.99,PCIe x1,Black / Gold
Intel X550-T2,225,PCIe x4,
StarTech ST1000SPEX42,359.96,PCIe x4,
TP-Link TX401,99.99,PCIe x4,Red
Intel EXPI9301CTBLK,59.99,PCIe x1,
Intel E1G42ETBLK,51,PCIe x4,
Intel EXPI9301CT,59,PCIe x1,
Gigabyte GC-AQC107,,PCIe x4,Black / White
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,85.49,PCIe x4,Green / Silver
QNAP QXG2G2TI225,79,PCIe x2,Green / Copper
Intel X520-DA1,119.99,PCIe x8,Green
Intel E1G44HTBLK,87,PCIe x4,
Intel X710-T2L,304.99,PCIe x8,Green / Black
Syba SY-ADA24029,9.99,USB Type-A 2.0,
Belkin F5D5000,9.27,PCI,
StarTech ST1000SPEX4,345.99,PCIe x4,
Syba SI-PEX24042,46.78,PCIe x1,Green / Black
Intel EXPI9402PTBLK-1PK,,PCIe x4,
TP-Link UE300,10.99,USB Type-A 3.2 Gen 1,
StarTech ST10GSPEXNB2,168.99,PCIe x2,Silver / Black
QNAP QXG-10G1T,139,PCIe x4,
TRENDnet TEG-25GECTX,28.08,PCIe x1,Blue
StarTech ST10GSPEXNB,125.55,PCIe x4,Black
Intel EXPI9402PTG2P20,69.61,PCIe x4,Green / Black
Intel EXPI9404PTLBLK-1PK,,PCIe x4,
Intel X520-T2,,PCIe x8,Green / Black
QNAP QXG5G1T111C,89,PCIe x1,Blue / Silver
Supermicro AOC-STG-i2T,369,PCIe x8,
Edimax EU-4208,10.99,USB Type-A 2.0,
Linksys USB3GIG,64.65,USB Type-A 3.2 Gen 1,Black
Syba SD-PEX24009,16.39,PCIe x1,
QLogic QLE3242-CU-CK,,PCIe x8,
TRENDnet TUC-ET2G,28.08,USB Type-C 3.2 Gen 1,Black
Syba SY-PEX24028,37.99,PCIe x1,
QNAP QXG-2G1T-I225,44.44,PCIe x1,Green / Silver
StarTech ST1000SPEX2,22.21,PCIe x1,
EDUP EP-9602GS,,PCIe x1,Black
StarTech ST1000SPEX2L,23.24,PCIe x1,
Rosewill RC-NIC416Dual,,PCIe x4,Black / Silver
D-Link DXE-820T,,PCIe x8,
Intel E1G44HT,124.5,PCIe x4,
Intel E10G42BT,,PCIe x8,
Syba SY-PEX24045,99.99,PCIe x4,Green / Black
StarTech ST2000PEXPSE,140.71,PCIe x1,
Syba SD-PEX24055,90.02,PCIe x4,Green / Black
Intel EXPI9404PTLBLK,,PCIe x4,
Intel E1G42ET,,PCIe x4,
Gigabyte GC-AQC113C 10G,,PCIe x4,White / Silver
Syba SY-HUB24047,45.99,USB Type-A 3.2 Gen 1,Black
StarTech PEX100S,19.13,PCIe x1,
Lenovo 7ZT7A00482,90.3,PCIe x1,Green / Black
StarTech USB21000S2,49.99,USB Type-A 2.0,
StarTech ST10000SPEX,,PCIe x4,
StarTech ST1000BT32,16.05,PCI,
Rosewill RNG-408U,,USB Type-C 3.2 Gen 1,Black
StarTech USB31000SW,26.03,USB Type-A 3.2 Gen 1,
Intel EXPI9404PTL,,PCIe x4,
Belkin B2B145-BLK,27.99,USB Type-C 3.2 Gen 1,Black
TP-Link TG-3269,44,PCI,
TP-Link TF-3239DL,19.98,PCI,
Intel PWLA8391GTLBLK,60.6,PCI,
Intel PWLA8492MT,93.99,PCI-X,
Rosewill RNG-407-Dual,,PCIe x1,
Plugable USB3-E1000,16.95,USB Type-A 3.2 Gen 1,
Supermicro SGP-i4,,PCIe x4,Green / Silver
HP E0X95AA,,PCIe x1,Green
SIIG CN-GP2011-S1,,PCIe x1,
StarTech USB32000SPT,62.34,USB Type-A 3.2 Gen 1,
SIIG CN-GP1021-S3,38.99,PCIe x1,
Acer NP.OTH11.005,,USB Type-A 2.0,
StarTech ST3300U3S,45.93,USB Type-A 3.2 Gen 1,
SIIG JU-NE0621-S2,,USB Type-A 3.2 Gen 1,White
Tripp Lite U436-000-GB,27.01,USB Type-C 3.2 Gen 1,Black
Syba SY-PEX24030,22.65,PCIe x1,
StarTech USB31000S,27.45,USB Type-A 3.2 Gen 1,
Intel PWLA8391GTBLK,37,PCI,
Rosewill RC-401-EX,,PCIe x1,
D-Link DUB-E100,,USB Type-A 2.0,
Netgear GA311,50.03,PCI,
StarTech ST1000SPEXD3,99.99,PCIe x1,
StarTech USB31000NDS,30.99,USB Type-A 3.2 Gen 1,
Cisco N2XX-ABPCI03-M3=,,PCIe x4,
Edimax EN-9130TXL,,PCI,
Lenovo 4X90E51405,23.85,USB Type-A 3.2 Gen 1,
Plugable USBC-E1000,18.95,USB Type-C 3.2 Gen 1,
Belkin F2CU040btBLK,22.37,USB Type-C 3.2 Gen 1,
V7 V7UCRJ45-BLK-1N,24.99,USB Type-C 3.2 Gen 1,Black
Intel PWLA8391GT,25,PCI,
StarTech ST1000SPEXD2,,PCIe x1,
Intel E1G44ET2,,PCIe x4,
Rosewill RC-400-LX,23.99,PCI,
Rosewill RC-400,,PCI,
Syba SY-ADA24005,,USB Type-A 2.0,
VisionTek Bigfoot Killer 2100,,PCIe x1,
Syba SD-ADA24032,,USB Type-A 3.2 Gen 1,
StarTech USB31000SPTB,35.97,USB Type-A 3.2 Gen 1,
Syba SY-PEX24056,,PCIe x4,Green / Black
Edimax EN-9320TX-E,,PCIe x4,Silver / Green
Syba SY-ADA24040,,USB Type-A 3.2 Gen 1,
D-Link DUB-1312,36.02,USB Type-A 3.2 Gen 1,Black
Rosewill RC-404,,PCI,
Rosewill RNF-405U,,USB Type-A 2.0,
Rosewill RNG-406U,,USB Type-A 3.2 Gen 1,
StarTech ST100S,,PCI,
Supermicro AOC-SG-i2,,PCIe x4,
Syba SY-ADA24024,,USB Type-A 2.0,
TRENDnet TE100-PCIWN,,PCI,
Intel EXPI9402PT,,PCIe x4,
Intel PWLA8391GTBLK-1PK,,PCI,
Intel PWLA8490MTBLK,,PCI-X,
Intel PWLA8492MTBLK5,,PCI-X,
SIIG CN-GP1011-S3,,PCI,
Syba SY-ADA24027,,USB Type-A 2.0,
TRENDnet TEG-PCITXR,30,PCI,
StarTech ST1000SPEX,,PCIe x1,
Asus NX1101,,PCI,
Belkin F4U047-RS,,USB Type-A 2.0,
Rosewill RC-402,,PCI,
D-Link DFE530TX+,18.23,PCI,
D-Link DGE-530T,25.04,PCI,
Edimax EU-4306,,USB Type-A 3.2 Gen 1,
Rosewill RC-411,,PCIe x1,
SIIG CN-GP4011-S1,,PCIe x4,
SIIG JU-NE0511-S1,,USB Type-A 3.2 Gen 1,
StarTech USB31000SPTW,34.86,USB Type-A 3.2 Gen 1,
Syba SI-ADA24037,,USB Type-A 3.2 Gen 1,
SIIG CN-GP1111-S1,,PCIe x4,
SIIG CN-GP4111-S1,,PCIe x4,
