name,price,protocol,interface,color
Gigabyte GC-WBAX210,42.99,Wi-Fi 6E,PCIe x1,Black / Silver
Asus PCE-AX3000,49.99,Wi-Fi 6,PCIe x1,Black
TP-Link TL-WN881ND,14.99,Wi-Fi 4,PCIe x1,
Intel AX200,20.99,Wi-Fi 6,M.2,
TP-Link Archer TX3000E,37.47,Wi-Fi 6,PCIe x1,Red / Black
Asus USB-N53,129.94,Wi-Fi 4,USB Type-A 2.0,
EDUP EP-9651GS,29.99,Wi-Fi 6E,PCIe x1,Black
Asus PCE-AXE58BT,56.99,Wi-Fi 6E,PCIe x1,Black / Gold
Gigabyte GC-WBAX200,32.99,Wi-Fi 6,PCIe x1,Black / Silver
TP-Link Archer TX50E,89.9,Wi-Fi 6,PCIe x1,Black
TP-Link Archer TX55E,36.99,Wi-Fi 6,PCIe x1,
TP-Link ARCHER T2E,14.97,Wi-Fi 5,PCIe x1,
TP-Link ARCHER T2U PLUS,16.98,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-AC68,,Wi-Fi 5,PCIe x1,
TP-Link Archer T9E,119.95,Wi-Fi 5,PCIe x1,
TP-Link Archer T4E,22.99,Wi-Fi 5,PCIe x1,
EDUP EP-9636GS-BL,26.99,Wi-Fi 6,PCIe x1,Black
Ziyituod ZYT-AX210S,28.9,Wi-Fi 6E,PCIe x1,Red
TP-Link Archer T3U Plus,19.97,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link Archer T5E,22.98,Wi-Fi 5,PCIe x1,Black
TP-Link TL-WN725N,9.99,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC56,,Wi-Fi 5,PCIe x1,
TP-Link Archer TX20U plus,29.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,
TRENDnet TEW-648UBM,6.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WDN4800,96,Wi-Fi 4,PCIe x1,
EDUP EP-9651,28.95,Wi-Fi 6E,PCIe x1,Blue / Black
TP-Link Archer T6E AC1300,34.99,Wi-Fi 5,PCIe x1,
Rosewill RNX-N250PCe,12.45,Wi-Fi 4,PCIe x1,
Gigabyte GC-WB1733D-I,39.99,Wi-Fi 5,PCIe x1,Black
Asus PCE-AC55BT B1,45.99,Wi-Fi 5,PCIe x1,
Asus PCE-AC88,,Wi-Fi 5,PCIe x1,
TP-Link Archer T3U,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus PCE-AX58BT,49.99,Wi-Fi 6,PCIe x1,Black
TP-Link Archer TXE75E,54.99,Wi-Fi 6,PCIe x1,
TP-Link Archer TXE72E,46.99,Wi-Fi 6,PCIe x1,
Netgear Nighthawk AC1900 A7000-10000S,84.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Ziyituod ZYT-AX200,,Wi-Fi 6,PCIe x1,Green
Asus USB-AC53 NANO,20.74,Wi-Fi 5,USB Type-A 2.0,
TP-Link TL-WN781ND,,Wi-Fi 4,PCIe x1,
Intel 7260HMWDTX1,110,Wi-Fi 5,PCIe x1,
TP-Link Archer T4U Plus,27.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNWD-N1501UB,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-808UBM,14.99,Wi-Fi 5,USB Type-A 2.0,Black
Intel AX210 w/vPro,21.95,Wi-Fi 6E,M.2 PCIe,Green
Gigabyte GC-WB867D-I,,Wi-Fi 5,PCIe x1,
Ubit AX210,,Wi-Fi 6E,PCIe x1,Black
TP-Link Archer T2U Nano,12.99,Wi-Fi 4,USB Type-A 2.0,Black / Gold
MSI AC905C,34.22,Wi-Fi 5,PCIe x1,Black
Asus PCE-AC51,,Wi-Fi 5,PCIe x1,
D-Link DWA-121,11.67,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-131,16.07,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC58BT,,Wi-Fi 5,PCIe x1,Blue
fenvi FV-T919,59.99,Wi-Fi 5,PCIe x1,Black / Gold
Asus USB-AC51,39.99,Wi-Fi 5,USB Type-A 2.0,
Asus USB-AC68,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
fenvi FV-AXE3000,,Wi-Fi 6,PCIe x1,Red / Black
Asus PCE-N15,,Wi-Fi 4,PCIe x1,
Intel AX210,31.99,Wi-Fi 6E,M.2 PCIe,Green
Ubit G10H-AX210S,,Wi-Fi 6E,PCIe x1,
Rosewill RNWD-N1502UBE,,Wi-Fi 4,USB Type-A 2.0,
fenvi FV-AXE210NG,,Wi-Fi 6E,M.2,
MSI AX905C,,Wi-Fi 6,PCIe x1,Black
BrosTrend AC5,,Wi-Fi 5,USB Type-A 2.0,Black
Intel 7260HMWDTX1,,Wi-Fi 5,PCIe x1,
TP-Link Archer T2U,23.6,Wi-Fi 5,USB Type-A 2.0,
Edimax EW-7811UTC,15.13,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer T9UH,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Gigabyte GC-WB867D-I REV 4.2,,Wi-Fi 5,PCIe x1,
Asus PCE-AC55BT,,Wi-Fi 5,PCIe x1,
Netgear A6210-100PAS,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Netgear WNDA3100-100NAS,,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T4U,32.79,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link TL-WN823N,13.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN722N,,Wi-Fi 4,USB Type-A 2.0,
fenvi FV-AX3000,,Wi-Fi 6,PCIe x1,Red / Black
TP-Link TL-WN821N,14.27,Wi-Fi 4,USB Type-A 2.0,
StarTech PEX867WAC22,67.97,Wi-Fi 5,PCIe x1,
D-Link DWA-192,104.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link TL-WN822N,20.68,Wi-Fi 4,USB Type-A 2.0,
Intel 7260,17,Wi-Fi 5,Mini-PCIe,
D-Link DWA-140,29.99,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N300UB,9.99,Wi-Fi 4,USB Type-A 2.0,
HP FH971AA,24.99,Wi-Fi 4,PCIe x1,
D-Link DWA-582,,Wi-Fi 5,PCIe x1,
Netgear A6100-100PAS,44.96,Wi-Fi 5,USB Type-A 2.0,
Ziyituod ZYT-7265,,Wi-Fi 5,PCIe x1,Green
Intel 62205ANHMWDTX1,99.95,Wi-Fi 4,PCIe x1,
StarTech PEX300WN2X2,24.99,Wi-Fi 4,PCIe x1,
Linksys WUSB6100M,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Encore ENUWI-G2,12.98,Wi-Fi 3,USB Type-A 2.0,
fenvi FV-HB1200,46.99,Wi-Fi 5,PCIe x1,Black / Blue
Edimax EW-7612PIN V2,21.49,Wi-Fi 4,PCIe x1,Green
BrosTrend AC3,33.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WN7200ND,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-171,28.08,Wi-Fi 5,USB Type-A 2.0,
Rosewill RNX-AC1900PCE,47.44,Wi-Fi 5,PCIe x1,
Linksys WUSB6300,35.59,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Netgear A6150-100PAS,35.99,Wi-Fi 5,USB Type-A 2.0,Black
Edimax EW-7811UAC,18.98,Wi-Fi 5,USB Type-A 2.0,
Edimax EW-7822UTC,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Intel 8265.NGWMG.DTX1,,Wi-Fi 5,M.2,
AVM FRITZ! WLAN Stick AC 430 MU-MIMO,,Wi-Fi 5,USB Type-A 2.0,White / Red
TP-Link TL-WN951N,,Wi-Fi 4,PCI,
TP-Link Archer T4U V2,34.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Edimax EW-7822PIC,49.95,Wi-Fi 5,PCIe x1,
Rosewill RNX-AC1200PCEv2,,Wi-Fi 5,PCIe x1,Green
TRENDnet TEW-807ECH,39.99,Wi-Fi 5,PCIe x1,
Netgear A6100-10000S,44.96,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link TL-WN350GD,,Wi-Fi 3,PCI,
D-Link DWA-552,56.99,Wi-Fi 4,PCI,
